station_id,station_name,time,Latitude,Longitude,elevation,source,type_mes,snw,snd,den,data_flag_snw,data_flag_snd,qc_flag_snd,qc_flag_snw
ALE-07JF801,HIGH LEVEL,2/27/2025,58.516666,-117.183334,330,Alberta Environment,0,111,0.48,231.25,b'',b'',b'',b''
ALE-07BF801,HIGH PRAIRIE,4/2/2025,55.4,-116.45,610,Alberta Environment,0,9,0.03,300,b'',b'',b'',b''
ALE-07BF801,HIGH PRAIRIE,2/28/2025,55.4,-116.45,610,Alberta Environment,0,36,0.1,360,b'',b'',b'',b''
ALE-07AC801,HINTON,3/31/2025,53.533333,-117.95,1240,Alberta Environment,0,188,0.72,261.1111111,b'',b'',b'',b''
ALE-07GD801,HYTHE,4/3/2025,55.316666,-119.566666,740,Alberta Environment,0,0,0,,b'',b'',b'',b''
ALE-07GD801,HYTHE,2/28/2025,55.316666,-119.566666,740,Alberta Environment,0,48,0.09,533.3333333,b'',b'',b'',b''
ALE-07HF802,KEG RIVER,3/31/2025,57.633335,-117.566666,440,Alberta Environment,0,113,0.43,262.7906977,b'',b'',b'',b''
ALE-07BJ805,KINUSO,4/2/2025,55.333332,-115.4,640,Alberta Environment,0,20,0.06,333.3333333,b'',b'',b'',b''
ALE-07BJ805,KINUSO,2/27/2025,55.333332,-115.4,640,Alberta Environment,0,41,0.14,292.8571429,b'',b'',b'',b''
ALE-07GG802,LITTLE SMOKY,4/2/2025,54.733334,-117.15,660,Alberta Environment,0,12,0.04,300,b'',b'',b'',b''
ALE-07GG802,LITTLE SMOKY,2/27/2025,54.733334,-117.15,660,Alberta Environment,0,72,0.27,266.6666667,b'',b'',b'',b''
ALE-07BA802,LODGEPOLE,3/31/2025,53.5,-115.35,850,Alberta Environment,0,69,0.24,287.5,b'',b'',b'',b''
ALE-07AA803,MARMOT-JASPER,4/1/2025,52.8,-118.083336,1830,Alberta Environment,0,223,0.9,247.7777778,b'',b'',b'',b''
ALE-07BB809,MAYERTHORPE S.P.,4/3/2025,53.866665,-115.316666,760,Alberta Environment,0,10,0.05,200,b'',b'',b'',b''
ALE-07BB803,MEADOWVIEW,4/2/2025,54,-114.666664,670,Alberta Environment,0,50,0.18,277.7777778,b'',b'',b'',b''
ALE-07BB803,MEADOWVIEW,2/27/2025,54,-114.666664,670,Alberta Environment,0,88,0.31,283.8709677,,,,
BCE-4A20,MONKMAN CREEK,4/1/2025,54.725365,-121.2318,1570,British Columbia Environment,0,401,,,b'',b'',b'',b''
ALE-07HC801,NORTH STAR,3/31/2025,56.866665,-117.63333,490,Alberta Environment,0,0,0,,b'',b'',b'',b''
ALE-07HC801,NORTH STAR,2/28/2025,56.866665,-117.63333,490,Alberta Environment,0,14,0.03,466.6666667,b'',b'',b'',b''
ALE-07AD801,OBED,3/31/2025,53.566666,-117.21667,1090,Alberta Environment,0,118,0.4,295,b'',b'',b'',b''
ALE-07BB811,PADDLE RIVER H.W.,4/3/2025,53.86889,-115.54305,885,Alberta Environment,0,13,0.09,144.4444444,b'',b'',b'',b''
ALE-07CA802,PERRYVALUE,4/1/2025,54.466667,-113.166664,670,Alberta Environment,0,20,0.11,181.8181818,b'',b'',b'',b''
ALE-07CA802,PERRYVALUE,2/26/2025,54.466667,-113.166664,670,Alberta Environment,0,73,0.28,260.7142857,b'',b'',b'',b''
BCE-4A02,PINE PASS,4/1/2025,55.35283,-122.64278,1450,British Columbia Environment,0,1053,2.67,394.3820225,b'',b'',b'',b''
ALE-07FD803,RYCROFT,3/31/2025,55.7,-118.73333,630,Alberta Environment,0,0,0,,b'',b'',b'',b''
ALE-07FD803,RYCROFT,2/25/2025,55.7,-118.73333,630,Alberta Environment,0,1,0.01,100,b'',b'',b'',b''
ALE-07BK801,SAULTEAUX RIVER,4/1/2025,55.166668,-114.23333,570,Alberta Environment,0,44,0.16,275,b'',b'',b'',b''
ALE-07GE803,SEXSMITH,4/3/2025,55.416668,-118.86667,780,Alberta Environment,0,79,0.23,343.4782609,b'',b'',b'',b''
ALE-07GE803,SEXSMITH,2/28/2025,55.416668,-118.86667,780,Alberta Environment,0,97,0.31,312.9032258,b'',b'',b'',b''
ALE-07GF807,SPRING CREEK#1,4/3/2025,54.95,-117.75,720,Alberta Environment,0,95,0.31,306.4516129,b'',b'',b'',b''
ALE-07GF807,SPRING CREEK#1,2/26/2025,54.95,-117.75,720,Alberta Environment,0,101,0.41,246.3414634,b'',b'',b'',b''
ALE-07GH801,STURGEON HEIGHTS,4/3/2025,53.066666,-117.683334,720,Alberta Environment,0,89,0.29,306.8965517,b'',b'',b'',b''
ALE-07AA802,SUNWAPTA FALLS,4/1/2025,52.55,-117.65,1400,Alberta Environment,0,186,0.74,251.3513514,b'',b'',b'',b''
ALE-07BB814,TWIN LAKES,4/2/2025,54.05,-114.8,655,Alberta Environment,0,14,0.05,280,b'',b'',b'',b''
ALE-07BB814,TWIN LAKES,2/27/2025,54.05,-114.8,655,Alberta Environment,0,28,0.24,116.6666667,b'',b'',b'',b''
ALE-07BC801,WESTLOCK,4/3/2025,54,-113.96667,700,Alberta Environment,0,22,0.1,220,b'',b'',b'',b''
ALE-07BC801,WESTLOCK,2/28/2025,54,-113.96667,700,Alberta Environment,0,48,0.17,282.3529412,b'',b'',b'',b''
ALE-07AG803,WHITECOURT,4/3/2025,54.083332,-115.6,790,Alberta Environment,0,19,0.11,172.7272727,b'',b'',b'',b''
ALE-07AG803,WHITECOURT,2/28/2025,54.083332,-115.6,790,Alberta Environment,0,57,0.18,316.6666667,b'',b'',b'',b''
BCE-4A07,LADY LAURIER LAKE,3/28/2025,56.701138,-123.754684,1440,British Columbia Environment,0,361,1.32,273.4848485,b'',b'',b'',b''
BCE-4A10,FREDRICKSON LAKE,4/1/2025,56.94868,-126.52191,1325,British Columbia Environment,0,214,0.74,289.1891892,b'',b'',b'',b''
BCE-4A04,WARE (LOWER),4/1/2025,57.405556,-125.66959,970,British Columbia Environment,0,167,0.62,269.3548387,b'',b'',b'',b''
BCE-4A03,WARE (UPPER),4/1/2025,57.38972,-125.71167,1575,British Columbia Environment,0,175,0.78,224.3589744,b'',b'',b'',b''
BCE-4A09,PULPIT LAKE,4/1/2025,57.548504,-126.74895,1335,British Columbia Environment,0,231,1.03,224.2718447,b'',b'',b'',b''
BCE-4A12,TSAYDAYCHI LAKE,4/1/2025,55.416634,-124.7622,1190,British Columbia Environment,0,297,1.01,294.0594059,b'',b'',b'',b''
BCE-4A13,PHILIP LAKE,4/1/2025,55.11328,-123.895424,1035,British Columbia Environment,0,255,0.73,349.3150685,b'',b'',b'',b''
BCE-4A18,MOUNT SHEBA,4/1/2025,54.526943,-121.80435,1490,British Columbia Environment,0,838,2.25,372.4444444,b'',b'',b'',b''
BCE-4C01,SIKANNI LAKE,4/1/2025,57.26386,-124.13252,1385,British Columbia Environment,0,233,0.97,240.2061856,b'',b'',b'',b''
BCE-4A11,TRYGVE LAKE,3/29/2025,56.994545,-127.45539,1410,British Columbia Environment,0,234,0.93,251.6129032,b'',b'',b'',b''
BCE-4A09,PULPIT LAKE,4/1/2025,57.548504,-126.74895,1335,British Columbia Environment,0,231,1.03,224.2718447,b'',b'',b'',b''
BCE-4A25,FORT ST. JOHN A,3/4/2025,58.84067,-122.5719,380,British Columbia Environment,0,96,0.38,252.6315789,b'',b'',b'',b''
BCE-4C05,FORT NELSON A,2/27/2025,56.23722,-120.728615,690,British Columbia Environment,0,93,0.46,202.173913,b'',b'',b'',b''
BCE-4A21,MOUNT STEARNS,3/28/2025,57.069527,-123.39929,1505,British Columbia Environment,0,100,0.5,200,b'',b'',b'',b''
BCE-4C02,SUMMIT LAKE,2/28/2025,58.64817,-124.7214,1280,British Columbia Environment,0,92,0.48,191.6666667,b'',b'',b'',b''
BCE-4A02,PINE PASS,5/1/2025,55.35283,-122.64278,1450,British Columbia Environment,0,1102,2.27,485.4625551,b'',b'',b'',b''
BCE-4A07,LADY LAURIER LAKE,4/25/2025,56.701138,-123.754684,1440,British Columbia Environment,0,373,1.19,313.4453782,b'',b'',b'',b''
BCE-4A03,WARE (UPPER),5/1/2025,57.38972,-125.71167,1575,British Columbia Environment,0,194,0.61,318.0327869,b'',b'',b'',b''
BCE-4A09,PULPIT LAKE,5/1/2025,57.548504,-126.74895,1335,British Columbia Environment,0,261,0.82,318.2926829,b'',b'',b'',b''
BCE-4A18,MOUNT SHEBA,5/1/2025,54.526943,-121.80435,1490,British Columbia Environment,0,855,1.81,472.3756906,b'',b'',b'',b''
BCE-4C01,SIKANNI LAKE,5/1/2025,57.26386,-124.13252,1385,British Columbia Environment,0,236,0.62,380.6451613,b'',b'',b'',b''
BCE-4A09,PULPIT LAKE,5/1/2025,57.26386,-124.13252,1385,British Columbia Environment,0,261,0.82,318.2926829,b'',b'',b'',b''
YT-10AA-SC01,WATSON LAKE AIRPORT,3/28/2025,60.129,-128.844,685,Yukon Territory,0,123,0.68,180.8823529,b'',b'',b'',b''
YT-10AA-SC02,TINTINA AIRSTRIP,3/26/2025,61.086,-131.245,1067,Yukon Territory,0,177,0.87,203.4482759,b'',b'',b'',b''
YT-10AA-SC03,PINE LAKE AIRSTRIP,3/26/2025,60.1,-130.933,995,Yukon Territory,0,230,0.95,242.1052632,b'',b'',b'',b''
YT-10AA-SC04,FORD LAKE,3/26/2025,60.784,-131.467,1110,Yukon Territory,0,149,0.82,181.7073171,b'',b'',b'',b''
YT-10AB-SC01,FRANCES RIVER,3/26/2025,60.581,-129.178,730,Yukon Territory,0,131,0.74,177.027027,b'',b'',b'',b''
YT-10MA-SC01,BLACKSTON RIVER,3/31/2025,64.95,-138.25,920,Yukon Territory,0,119,0.7,170,b'',b'',b'',b''
YT-10MA-SC02,OGILVIE RIVER,3/31/2025,65.35,-138.3,595,Yukon Territory,0,111,0.59,188.1355932,b'',b'',b'',b''
YT-10MB-SC01,BONNET PLUME LAKE,4/29/2025,64.305,-132.001,1120,Yukon Territory,0,172,0.74,232.4324324,b'',b'',b'',b''
